date,open,high,low,close,volume
2018-05-16,8344.01,8483.48,8320.0,8321.65,1528.05930779
2018-05-17,8320.0,8377.84,8001.0,8059.0,6431.01808863
2018-05-18,8022.6,8280.0,7951.54,8238.51,5547.98418254
2018-05-19,8235.6,8281.61,8172.0,8264.12,581.53887774
2018-05-20,8516.86,8539.0,8436.0,8511.12,874.08072846
2018-05-21,8393.43,8400.0,8263.0,8288.01,829.04629856
2018-05-22,7987.7,8030.06,7864.0,7897.0,2576.37742457
2018-05-23,7897.0,7949.72,7433.19,7505.0,12497.50065893
2018-05-24,7584.15,7661.85,7527.3,7596.98,1253.88201143
2018-05-25,7459.11,7469.61,7381.0,7383.46,760.49253549
2018-05-26,7337.94,7337.95,7230.01,7307.28,1328.82082355
2018-05-27,7346.64,7444.8,7314.82,7332.14,1265.724923
2018-05-28,7107.94,7133.0,7058.0,7120.0,1495.77353891
2018-05-29,7119.99,7524.99,7073.5,7460.0,8679.95324211
2018-05-30,7380.0,7499.0,7340.0,7489.21,1078.93565819
2018-05-31,7485.0,7522.0,7461.42,7485.0,984.11768979
2018-06-01,7514.32,7519.21,7440.0,7480.16,766.40875026
2018-06-02,7636.41,7666.47,7583.24,7645.97,869.33859492
2018-06-03,7706.37,7747.57,7656.0,7696.21,724.10246231
2018-06-04,7487.37,7500.0,7374.35,7387.73,1195.07743628
2018-06-05,7612.51,7628.0,7582.73,7587.38,930.2979444
2018-06-06,7655.0,7747.0,7654.99,7714.41,1262.63740114
2018-06-07,7714.4,7719.99,7635.0,7684.93,3692.43762228
2018-06-08,7616.0,7680.0,7613.0,7660.8,620.79932369
2018-06-09,7496.41,7496.41,7265.0,7290.0,2475.73202075
2018-06-10,7289.99,7319.99,6652.0,6770.31,14881.04170672
2018-06-11,6881.0,6885.84,6793.05,6829.01,1566.51828196
2018-06-12,6549.47,6595.0,6529.29,6589.45,1712.35444201
2018-06-13,6302.32,6529.8,6269.0,6475.17,3676.00007977
2018-06-14,6475.18,6750.0,6310.0,6638.49,10622.87124935
2018-06-15,6391.21,6454.57,6384.01,6430.0,907.444363
2018-06-16,6484.3,6546.33,6484.3,6527.52,590.93570625
2018-06-17,6447.15,6455.0,6385.0,6405.64,1161.99574238
2018-06-18,6709.19,6723.1,6676.03,6708.01,941.84716972
2018-06-19,6736.41,6742.2,6557.66,6602.64,1760.38532891
2018-06-20,6759.54,6787.0,6732.22,6760.09,769.25694735
2018-06-21,6719.01,6725.0,6613.75,6662.66,1489.46919172
2018-06-22,6059.82,6174.98,6040.08,6133.29,1567.16157672
2018-06-23,6178.29,6192.75,5900.0,5918.77,2138.14892697
2018-06-24,6150.0,6188.89,6115.67,6141.33,1131.8173088
2018-06-25,6138.05,6340.01,6070.13,6246.01,6855.76425123
2018-06-26,6074.01,6124.0,6020.0,6055.01,1633.48517175
2018-06-27,6132.16,6161.47,6076.74,6102.91,966.68400071
2018-06-28,5850.25,5906.91,5850.0,5855.21,1799.3866318
2018-06-29,6202.36,6520.15,6185.0,6382.63,3370.07297269
